ward_number,page,raw_block,status
14,03,"Dr. Rajender (रच्छीऩसय),(रच्छीऩसय- हरयिचॊद एन्क्रेव) 1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 Nagar",EXTRACTED
15,04,"Hanumant                     गोयखऩसय,हसभामूॉऩसय उत्तयी) 1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 nagar जनविम वफहाय कारोनी,हसभाॊमसऩसय उत्तयी जनविम वफहाय/",EXTRACTED
16,04,"आॊशिक(हसभामूॉऩसय उत्तयी (न्मू एरयमा        1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 Digvijaay Nagar ),हसभामूॉऩसय उत्तयी (जनविमा ववहाय) )) ,जॊगर भातादीन ,,Jangal Tikoniya शिवऩसय",EXTRACTED
17,04,"Number 1 (जॊगर शिवऩसय,,जॊगर                1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 हफाजगॊज हाडकभ,जॊगर हाडकभ (आिया)) झयनाटोरा /          झयनाटोरा भहादे व झायखण्डी टस कडा नम्फय",EXTRACTED
18,04," Gaytri Nagar          तीन आॊशिक(झयना टोरा,गोभती टोरा) 1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 गोऩारऩसय,याभगढ़तार,भोहम्भद चक,(,भोहद्दीऩसय,भैनसद्दीन चक,गोऩराऩसय (रेक व्मू),गोऩराऩसय (फसद्धा ववहाय कभशिफमर),गोऩराऩसय (गौतभ",EXTRACTED
19,04,"गोऩराऩसय                                                       1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 ववहाय),गोऩराऩसय (गौतभ ववहाय ववस्ताय),गोऩराऩसय (श द्धाथफ एन्क्रेव)गोऩराऩसय ( ाहाया एस्टे ट),गोऩराऩसय ( ाहाया एस्टे ट))",EXTRACTED
20,05,"रच्छीऩसय         रशरताऩसयभ ववस्ताय,शभर्ाफऩसय ऩचऩेडवा           1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 न्मू,रच्छीऩसय (िास्त्रीऩसयभ),इॊ डषस्िमर एरयमा आॊशिक ,रच्छीऩसय,रच्छीऩसय-(फ ॊत एन्क्रेव),शभर्ाफऩसय ऩचऩेडवा न्मू,शभर्ाफऩसय ऩचऩेडवा न्मू- ग्रीन वेरी)",EXTRACTED
21,05,"भोहनऩसय                  जॊगर हकीभ नॊ0 01 व 02                 नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया जॊगर जॊगर तसर ीयाभ ऩषिभी आॊशिक, अकोरवा,",EXTRACTED
22,05,तसर ीयाभ                                                         1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 (जॊगर तसर ीयाभ) ऩषिभी जॊगर तसर ीयाभ जॊगर तसर ीयाभ आॊशिक खसद्दी,EXTRACTED
23,05,"ऩूवी/िहीद                                                       1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 टोरा,केवटडहमा(जॊगर तसर ीयाभ) शिवश ॊह िेत्री नगय नौ ढ़ /",EXTRACTED
24,05,Mathsender                           नौ ढ़                        1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 Nagar,EXTRACTED
25,06,"शगयधयगॊज      आॊशिक,वविसनऩसयवा,कूडाघाट,आवा ववका                1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 कारोनी (झायखण्डी),(शगयधय गॊज) फेशतमाहाता,रुस्तभऩसय आॊशिक,(,रुस्तभऩसय",EXTRACTED
26,06,"फेशतमाहाता                                                     2.00       1.50         0.70   1.50      1.25    0.60   1.25   1.10   0.45   0.15   0.10   0.10 (जोन -4 )) जटे ऩसय उत्तयी, (जटे ऩसय उत्तयी (न्मू एरयमा)",EXTRACTED
27,06,"जटे ऩसय                                                      1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 आॊशिक अॊशधमायीफाग /    अॊशधमायीफाग आॊशिक,तडकमाकवरदह",EXTRACTED
28,06,"Mansarover     आॊशिक(तडकमा कवल्दाह,तडकमा कवल्दाह                1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 Nagar             ( ूमफ ववहाय),अॊशधमायी फाग) घोषीऩसयवा /               घोषीऩसयवा PANDIT    आॊशिक,गीतावाडटका,कायागाय,िाहऩसय आवा",EXTRACTED
29,06,"RAMPRASHAD ववका कारोनी आॊशिक, DEYARI COLONY ,                    1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 BISHMILL     RAILWAY COLONY ,(घोश ऩसयवा,िाहऩसय NAGAR           (आवा ववका ऩूव)फ ,िाहऩसय कयभहाॊ उपफ",EXTRACTED
30,06,"गसररयहा                                                       नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया कम्हरयमाॊ,भसडडरा,शभजाफऩसय,गसररयहा,उभयऩसय",EXTRACTED
31,06,"हय ेवकऩसय      हय ेवकऩसय नॊ0 02,जॊगर      ाशरकयाभ आॊशिक        नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया",EXTRACTED
32,07,"sahid           तसकफभानऩसय आॊशिक,ऩहाडऩसय,(तसकफभानऩसय,)     1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 asfakullah नयश ॊहऩसय,शनजाभऩसय,बयऩूयवा ,",EXTRACTED
33,07,"नयश ॊहऩसय                  Ghasikatra                       1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 ,(भोहनरारऩसय,नायश ॊहऩसय,उदफ ू फार्ाय) जटे ऩसय ये रवे कारोनी /",EXTRACTED
34,07,"जटे ऩसय ये रवे कारोनी,फौशरमा कारोनी       1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 Vishwkarmapur am जॊगर ाशरकयाभ,िताब्दीऩसयभ ्,शिवऩसय जॊगर            ाहफजगॊज,(जॊगर शिवऩसय,बगतऩसय टोरा",EXTRACTED
35,07," ाशरकयाभ          जॊगर ाशरकयाभ,जॊगर ाशरकयाभ 1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 करक्िी टोरा,भाधवऩसय) रोडहमानगय,जटे ऩसय उत्तयी आॊशिक, ,शिवनगय",EXTRACTED
36,07,"रोडहमानगय         कारोनी,(चक ा हस ैन,जटे ऩसय उत्तयी (न्मू    1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 एरयमा) बयवशरमा फसजसग,फ भनहट, ेन्दर स ी-",EXTRACTED
37,07,"बयवशरमा                                                     नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया फेन्दर स ी,कजाकऩस य भहे वा / Kanha    भहे वा, चकया नॊफय 01, तसकफभानऩसय आॊशिक",EXTRACTED
38,07," Upwan Nagar           (चकया,भहे वा,भहे वा (िाॊ ऩोटफ नगय)) 1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10",EXTRACTED
39,07,"गामघाट             याभऩसय, गामघाट खसदफ, गामघाट फसजसगफ       नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया",EXTRACTED
40,08,"कृ ष्णानगय                                                  1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 याजेन्र नगय,(जटे ऩसय उत्तयी (न्मू एरयमा))",EXTRACTED
41,08,"भाधोऩसय         भाधोऩसय, Suray Kund Anshik                 1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 य र ू ऩसय आॊशिक,ऩट्टन,नथभरऩसय, य ूरऩसय /          BANKATWAA,ऩत्तन पॉय",EXTRACTED
42,08,"maharanapratp ऩटशनमा,नथभरऩसय,य ूरऩसय (जोन - 1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 nagar 4),इॊ डषस्िमर एरयमा आॊशिक िाहऩसय आॊशिक व िाहऩसय आवा ववका कारोनी आॊशिक,धभफऩसय,(िाहऩसय,िाहऩसय",EXTRACTED
43,08,"िाहऩसय                                                     1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 (आवा ववका ऩषिभी),िाहऩसय (याप्ती काम््रेक् ),िाहऩसय (जैशभनी काम््रेक् )) फ ॊतऩसय,फ ॊतऩसय",EXTRACTED
44,08,"फ ॊतऩसय        भसतनाजा,हनसभानचक,यकाफगॊज,(ये काफ            1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 गॊज,फ ॊतऩसय खा ,,तसकफभानऩसय) ये रवे कारोनी      ये रवे कारोनी वफशछमा,आय.ऩी.एप.",EXTRACTED
45,08,"वफशछमा /                                                   1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 कारोनी,Maitrypuram colony, Maitry puram िविनगय,फिायतऩसय ऩूवी आॊशिक(फिायतऩसय",EXTRACTED
46,08,"िविनगय                                                      1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 ऩूवी,धयभऩसय) डदरेजाकऩसय /   डदरेजाकऩसय ,हजायीऩसय,शनमाभतचक,फक्िीऩसय",EXTRACTED
47,08,MAHATAMA                        आॊशिक 1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 JYOTIBA FULE,EXTRACTED
48,08,"धभफिाराफाजाय          धभफिाराफाजाय,जटे ऩसय दषिणी              1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10",EXTRACTED
49,09,"BENIGANJ             दीवान फाजाय,रुरऩसय,गाजीयौजा          1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 RUDRPUR कल्माणऩसय,रुस्तभऩसय,काजीऩसय",EXTRACTED
50,09,"कल्माणऩसय                                                  1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 करा,वफन्दटोरा,यभदत्तऩसय,फसराकीऩसय चकया दोमभ,चकया ोमभ,कठवशतमा उपफ",EXTRACTED
51,09,"दे वी ि ाद नगय                                              नया       नया           नया    नया       नया     नया    नया    नया    नया    नया    नया    नया कठउय,ऩथया वऩतया झयवा, ेभया दे वी ि ाद ऩसडदफ रऩसय,जटे ऩसय दषिणी,फक्िीऩसय",EXTRACTED
52,09,"ऩसडदफ रऩसय                     आॊशिक(चक                   2.00       1.50         0.70   1.50      1.25    0.60   1.25   1.10   0.45   0.15   0.10   0.10 जरार,फक् ीऩसय,ऩसडदफ रऩसय,डदरेजाकऩसय ) याप्तीनगय आॊशिक,चक् ा हस ैन आॊशिक,शभजाफऩसय ऩचऩेडवा आॊशिक",EXTRACTED
53,09,"याभजानकीनगय                                                 1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 (शभर्ाफऩसय ऩचऩेडवा न्मू,चक ा हस ैन,फिायतऩसय ऩषिभी) उवफयकनगय,जॊगर नकहा नम्फय दो,,जॊगर नकहा नम्फय 1 Anshik(जॊगर नाखा",EXTRACTED
54,09,"उवफयकनगय                                                   1.05       0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 नो०-2,जॊगर नाखा नो०-2- आवा        ववका मोजना) इराहीफाग / इराहीफाग,शतवायीऩसय",EXTRACTED
55,09,"BANDHU आॊशिक,घो ीऩसय,दाउदचक,(शतवायीऩसय,) 1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 SINGH NAGAR दाउदऩसय आॊशिक,रुस्तभऩसय दाउदऩसय /         आॊशिक,य ूरऩसय,वफरन्दऩसय आॊशिक",EXTRACTED
56,09,"यघसऩशत हाम             (य ूरऩसय (जोन - 1),दाउदऩसय           1.25       0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 डपयाक नगय           (चरुचन्रऩसयी),वफरन्दऩसय (इॊ डदया नगय),दाउदऩसय )",EXTRACTED
57,10,"यामगॊज           यामगॊज दषिणी,यामगॊज उत्तयी , खसयफभऩसय       1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 ूमक फ स ण्ड कारोनी,श धायीऩसय आॊशिक,तडकमा कवरदह आॊशिक,य ूरऩसय ूमक फ स ण्ड",EXTRACTED
58,10,"आॊशिक,दरयमाचक(दरयमा                1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 धाभनगय चक,श धायीऩसय,श धायीऩसय ( ूमाफ काइॊ ड कॉरोनी),वफरन्दऩसय (जोन-4)) जापयाफाजाय/ जापयाफाजाय,अॊशधमायीफाग",EXTRACTED
59,10,"AATMA RAM आॊशिक,अफूफाजाय,इस्राभचक,(अॊशधमायी फाग) 1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 NAGAR ववका नगय(रच्छीऩसय),जाप्ती टोरा,(रच्छीऩसय -",EXTRACTED
60,10,"ववका       नगय                                                 1.05        0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 ववका नगय ववस्ताय) ईस्भाइरऩसय,खूनीऩसय आॊशिक,घा ीकटया ईस्भाइरऩसय/",EXTRACTED
61,10,"आॊशिक,खोखयटोरा,न ीयाफाद,(, ाहफ             1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 SAHABGANJ गॊज,घा ी कटया,खसनीऩसय) शभमाॊफाजाय/        शभमाॊफाजाय आॊशिक,(चक जरार,शभमाॉ",EXTRACTED
62,10," MAYABAZAR           फार्ाय,चकजरार- ऩिसऩशत दवा फार्ाय) 2.00        1.50         0.70   1.50      1.25    0.60   1.25   1.10   0.45   0.15   0.10   0.10 काजीऩसय खसदफ /",EXTRACTED
63,10,"काजीऩसय खसदफ,फनकटीचक जगन्नाथऩसय            1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 JAGARNATH बेडडमागढ़ /        बेडडमागढ़,,वविनसऩसयभ(जटे ऩसय उतयी (न्मू",EXTRACTED
64,10," Vishnupuram             एरयमा),जटे ऩसय उत्तयी,िाहऩसय ) 1.05        0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 अरहदादऩसय / KRISHN    अरहदादऩसय,शभमाॊफाजाय आॊशिक,भेवातीऩसय",EXTRACTED
65,10," MOHAN           उपफ चैनऩसय,(शभमाॉ फार्ाय) 1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 PANDEY NAGAR",EXTRACTED
66,11," चन्द फो नगय आॊशिक, ॊकटभोचननगय,भाधवऩसय, ( सबाष 1.05        0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 चन्र फो )) भोहद्दीऩसय/",EXTRACTED
67,11,"Sardar bhagat                    भोहद्दीऩसय                   1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 singh nagar शतवायीऩसय आॊशिक,फहयाभऩसय उपफ वऩऩयाऩसय शतवायीऩसय / आॊशिक,भोहनरारऩसय,(शतवायीऩसय,वऩऩयाऩसय,रु MAHARSHI",EXTRACTED
68,11,"स्तभऩसय (जोन-2),रुस्तभऩसय (आवा ववका          1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 DADHICHI कॉरोनी),रुस्तभऩसय ( आवा ववका A- NAGAR ब्राक) हॉ सऩसय / Shri",EXTRACTED
69,11,"हॉ सऩसय,तसकफभानऩसय आॊशिक             1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 Ram Chauk रुस्तभऩसय रुस्भऩसय आॊशिक,शचरभाऩसय,बयवशरमा खसदफ",EXTRACTED
70,11,"/Chandsekhar (रुस्तभऩसय (जोन -1 )) 1.05        0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 azad chauk अरीनगय /        अरीनगय उत्तयी,अरीनगय दषिणी,हसभाॊमसऩसय",EXTRACTED
71,11," ARYA Nagar                दषिणी(हसभामूॉऩसय,) 1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10",EXTRACTED
72,12," वित्तीम              राइन,ऩयहा,वफरन्दऩसय (जोन- 2.00        1.50         0.70   1.50      1.25    0.60   1.25   1.10   0.45   0.15   0.10   0.10 1),कारेऩसय,श ववर राइन) (शभर्ाफऩसय (जोन- 2))शभजाफऩसय,घा ीकटया",EXTRACTED
73,12,"शभजाफऩसय                                                  1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 आॊशिक,भसण्डे यीचक,यहभतनगय चक् ा हस ैन /     चक् ा हस ैन आॊशिक, जाडहदाफाद,जटे ऩसय",EXTRACTED
74,12,"shant jhulelaal उत्तयी आॊशिक,(चक ा हस ैन) 1.05        0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 nagar भहसई सधयऩसय/",EXTRACTED
75,12,"भहसई    सधयऩसय,शभजाफऩसय(,फेशतमाहाता)    1.05        0.75         0.25   0.85      0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 SHIVAJI NAGAR भसफ्तीऩसय,िाहभारुप,धम्भार,अ कयगॊज(उदफ ू भसफ्तीऩसय/",EXTRACTED
76,12,"फार्ाय,िाह भाहरूप,िाह भाहरूप ( यहयी        1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 GHANTA GHAR आकेड)) िेषऩसय/ GEETA           िेषऩसय,खूनीऩसय आॊशिक,दीवान",EXTRACTED
77,12," PRESS NAGAR              दमायाभ,(खसनीऩसय, ाहफ गॊज) 1.25        0.90         0.45   1.00      0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10",EXTRACTED
78,13,"ऩसयाना गोयखऩसय                                                              1.25        0.90         0.45       1.00       0.75    0.40   0.80   0.55   0.25   0.10   0.10   0.10 NAGAR,GOPALAN NAGAR,SINDHI COLONY(हसभामूॉऩसय उत्तयीआॊशिक, श ववर राईन                 श ववर राईन आॊशिक,दाउदऩसय",EXTRACTED
79,13," िथभ                        आॊशिक,श ववर राइन 2.00        1.50         0.70       1.50       1.25    0.60   1.25   1.10   0.45   0.15   0.10   0.10 याप्तीनगय आॊशिक,फिायतऩसय ऩषिभी आॊशिक(फिायतऩसय खा ,फिायतऩसय",EXTRACTED
80,13,"याप्तीनगय       ऩषिभी,याप्ती नगय (पेज-III),याप्ती नगय (पेज              1.05        0.75         0.25       0.85       0.60    0.20   0.70   0.40   0.20   0.10   0.10   0.10 -I),याप्ती नगय (पेज-III) दषिणी,फिायतऩसय खा (ए .फी.आई. कॉरोनी)) uksV%& bl lwph dh fdlh izfof""V ij vkifRr gksus dh n'kk esa o""kZ 2011&12 esa ewy iqujhf{kr fu/kkZfjr fdjk;k nj gh izekf.kr ekuk tk;sxkA ***END***",EXTRACTED
